condition,seed,realized_distance,node_count,edge_count,total_undirected_weight,success,first_passage_step,peak_goal_activation,final_goal_rank
mixed,26,2,10,22,8.8314351751,1,13,0.3884146011,5
fixed_initial,27,6,10,9,9.1653002930,0,,0.0000000000,9
fixed_useful,27,2,10,9,9.1653002930,1,8,1.1930281927,2
fixed_irrelevant,27,8,10,9,9.1653002930,0,,0.0000000000,9
mixed,27,2,10,20,9.1653002930,1,13,0.3816593003,6
fixed_initial,28,6,10,9,8.2553141002,0,,0.0000000000,9
fixed_useful,28,2,10,9,8.2553141002,1,8,1.1655820976,2
fixed_irrelevant,28,8,10,9,8.2553141002,0,,0.0000000000,9
mixed,28,2,10,23,8.2553141002,1,16,0.3510325198,8
fixed_initial,29,6,10,9,8.9498576480,0,,0.0000000000,9
fixed_useful,29,2,10,9,8.9498576480,1,8,1.1295769019,2
fixed_irrelevant,29,8,10,9,8.9498576480,0,,0.0000000000,9
mixed,29,2,10,22,8.9498576480,1,16,0.3543752138,6
fixed_initial,30,6,10,9,8.8027295872,0,,0.0000000000,9
fixed_useful,30,2,10,9,8.8027295872,1,8,1.0665238396,2
fixed_irrelevant,30,8,10,9,8.8027295872,0,,0.0000000000,9
mixed,30,2,10,22,8.8027295872,1,11,0.4150991012,5
fixed_initial,31,6,10,9,8.2357237212,0,,0.0000000000,9
fixed_useful,31,2,10,9,8.2357237212,1,8,1.1438214493,2
fixed_irrelevant,31,8,10,9,8.2357237212,0,,0.0000000000,9
mixed,31,2,10,19,8.2357237212,1,16,0.3522955588,6
fixed_initial,32,6,10,9,8.8652436041,0,,0.0016040464,6
fixed_useful,32,2,10,9,8.8652436041,1,8,1.1335398187,2
fixed_irrelevant,32,8,10,9,8.8652436041,0,,0.0000000000,9
mixed,32,2,10,23,8.8652436041,1,13,0.3880153138,7
fixed_initial,33,6,10,9,9.4346380995,0,,0.0000000000,9
fixed_useful,33,2,10,9,9.4346380995,1,8,1.1767183676,2
fixed_irrelevant,33,8,10,9,9.4346380995,0,,0.0000000000,9
mixed,33,2,10,23,9.4346380995,1,13,0.3849172216,6
fixed_initial,34,6,10,9,9.5130536596,0,,0.0000000000,9
fixed_useful,34,2,10,9,9.5130536596,1,8,1.1434867880,2
fixed_irrelevant,34,8,10,9,9.5130536596,0,,0.0000000000,9
mixed,34,2,10,22,9.5130536596,1,13,0.3874025915,4
fixed_initial,35,6,10,9,9.6928376439,0,,0.0000000000,9
fixed_useful,35,2,10,9,9.6928376439,1,8,1.1720549889,2
