topology,propagation_rule,policy,evaluation_threshold,patience_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count,variable_dwell_seed_fraction
branched_path,symmetric_normalized,adaptation_only,0.04,40,150,1.0000,0.29662693,40.000,2.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,60,150,0.7800,0.21626422,28.800,1.000,0.0000
branched_path,symmetric_normalized,progress_coupled,0.0005,1,150,1.0000,0.43392237,100.580,10.300,0.7733
branched_path,symmetric_normalized,progress_coupled,0.0005,2,150,1.0000,0.48522243,116.807,1.533,0.1267
branched_path,symmetric_normalized,progress_coupled,0.0005,3,150,1.0000,0.48455546,114.993,1.533,0.1267
branched_path,symmetric_normalized,progress_coupled,0.0005,4,150,1.0000,0.48366372,113.213,1.533,0.1267
branched_path,symmetric_normalized,progress_coupled,0.0005,5,150,1.0000,0.48262460,111.507,1.533,0.1267
branched_path,symmetric_normalized,progress_coupled,0.0005,7,150,1.0000,0.47896993,106.733,1.533,0.1267
branched_path,symmetric_normalized,progress_coupled,0.0005,10,150,1.0000,0.47406702,101.833,1.533,0.1867
branched_path,symmetric_normalized,progress_coupled,0.0005,15,150,1.0000,0.46267140,93.267,1.533,0.2933
branched_path,symmetric_normalized,progress_coupled,0.0005,20,150,1.0000,0.45074351,86.340,1.533,0.3000
branched_path,symmetric_normalized,progress_coupled,0.0005,30,150,1.0000,0.40863874,68.780,1.533,0.3000
branched_path,symmetric_normalized,progress_coupled,0.0005,40,150,1.0000,0.35642471,54.567,1.533,0.3000
branched_path,symmetric_normalized,progress_coupled,0.0005,60,150,0.7667,0.20907029,28.000,1.000,0.0000
branched_path,symmetric_normalized,progress_coupled,0.001,1,150,1.0000,0.42758293,98.280,12.600,0.9200
branched_path,symmetric_normalized,progress_coupled,0.001,2,150,1.0000,0.48435245,115.713,2.067,0.2933
branched_path,symmetric_normalized,progress_coupled,0.001,3,150,1.0000,0.48471920,115.400,1.467,0.0933
branched_path,symmetric_normalized,progress_coupled,0.001,4,150,1.0000,0.48388493,113.707,1.467,0.0933
branched_path,symmetric_normalized,progress_coupled,0.001,5,150,1.0000,0.48295048,112.120,1.467,0.0933
branched_path,symmetric_normalized,progress_coupled,0.001,7,150,1.0000,0.47951310,107.553,1.467,0.0933
branched_path,symmetric_normalized,progress_coupled,0.001,10,150,1.0000,0.47488421,102.893,1.467,0.1267
branched_path,symmetric_normalized,progress_coupled,0.001,15,150,1.0000,0.46431706,94.767,1.467,0.2267
branched_path,symmetric_normalized,progress_coupled,0.001,20,150,1.0000,0.45350434,88.313,1.467,0.2333
branched_path,symmetric_normalized,progress_coupled,0.001,30,150,1.0000,0.41553625,71.680,1.467,0.2333
branched_path,symmetric_normalized,progress_coupled,0.001,40,150,1.0000,0.36889476,58.107,1.467,0.2400
branched_path,symmetric_normalized,progress_coupled,0.001,60,150,0.7667,0.22848230,32.000,1.000,0.0000
branched_path,symmetric_normalized,progress_coupled,0.002,1,150,1.0000,0.40315750,91.613,18.220,1.0000
branched_path,symmetric_normalized,progress_coupled,0.002,2,150,1.0000,0.47721398,111.253,4.120,0.8867
branched_path,symmetric_normalized,progress_coupled,0.002,3,150,1.0000,0.48473932,115.493,1.447,0.1333
branched_path,symmetric_normalized,progress_coupled,0.002,4,150,1.0000,0.48387586,113.773,1.447,0.1333
branched_path,symmetric_normalized,progress_coupled,0.002,5,150,1.0000,0.48282160,112.087,1.447,0.1333
branched_path,symmetric_normalized,progress_coupled,0.002,7,150,1.0000,0.47923676,107.507,1.447,0.1333
branched_path,symmetric_normalized,progress_coupled,0.002,10,150,1.0000,0.47459542,102.933,1.447,0.1400
branched_path,symmetric_normalized,progress_coupled,0.002,15,150,1.0000,0.46426112,95.033,1.447,0.2533
branched_path,symmetric_normalized,progress_coupled,0.002,20,150,1.0000,0.45313519,88.447,1.447,0.2667
branched_path,symmetric_normalized,progress_coupled,0.002,30,150,1.0000,0.41485734,71.960,1.447,0.2667
branched_path,symmetric_normalized,progress_coupled,0.002,40,150,1.0000,0.36800146,58.553,1.447,0.2667
branched_path,symmetric_normalized,progress_coupled,0.002,60,150,0.8200,0.24428968,33.200,1.000,0.0000
branched_path,symmetric_normalized,progress_coupled,0.005,1,150,1.0000,0.32948426,78.753,36.720,1.0000
branched_path,symmetric_normalized,progress_coupled,0.005,2,150,1.0000,0.45664637,103.867,7.220,1.0000
branched_path,symmetric_normalized,progress_coupled,0.005,3,150,1.0000,0.48201858,112.213,2.753,0.5200
branched_path,symmetric_normalized,progress_coupled,0.005,4,150,1.0000,0.48388564,113.593,1.553,0.1200
branched_path,symmetric_normalized,progress_coupled,0.005,5,150,1.0000,0.48286366,111.853,1.553,0.1200
branched_path,symmetric_normalized,progress_coupled,0.005,7,150,1.0000,0.47904983,106.900,1.553,0.1200
branched_path,symmetric_normalized,progress_coupled,0.005,10,150,1.0000,0.47409247,101.980,1.553,0.1267
branched_path,symmetric_normalized,progress_coupled,0.005,15,150,1.0000,0.46319466,93.647,1.553,0.2533
branched_path,symmetric_normalized,progress_coupled,0.005,20,150,1.0000,0.45110128,86.520,1.553,0.2867
branched_path,symmetric_normalized,progress_coupled,0.005,30,150,1.0000,0.40810217,68.500,1.553,0.2867
