topology,propagation_rule,decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
path,source_normalized,2,0.0005,2048,1,1.1653141533,110,2
path,source_normalized,2,0.0005,2049,1,1.0631926078,116,2
path,source_normalized,2,0.0005,2050,1,1.1761318941,118,1
path,source_normalized,2,0.0005,2051,1,1.2152222534,118,1
path,source_normalized,2,0.0005,2052,1,1.0318028637,118,1
path,source_normalized,2,0.0005,2053,1,1.2384016958,116,2
path,source_normalized,2,0.0005,2054,1,1.1236128491,118,1
path,source_normalized,2,0.0005,2055,1,1.2836906221,116,2
path,source_normalized,2,0.0005,2056,1,1.0931575109,118,1
path,source_normalized,2,0.0005,2057,1,1.0531098741,116,2
path,source_normalized,2,0.0005,2058,1,1.2603130200,118,1
path,source_normalized,2,0.0005,2059,1,1.1410712323,116,2
path,source_normalized,2,0.0005,2060,1,1.1880196994,118,1
path,source_normalized,2,0.0005,2061,1,1.1073480004,106,2
path,source_normalized,2,0.0005,2062,1,1.0918439702,116,2
path,source_normalized,2,0.0005,2063,1,0.9943682003,106,2
path,source_normalized,2,0.0005,2064,1,1.1145877391,118,1
path,source_normalized,2,0.0005,2065,1,1.0724333661,118,1
path,source_normalized,2,0.0005,2066,1,1.0601861698,116,2
path,source_normalized,2,0.0005,2067,1,1.1716803889,118,1
path,source_normalized,2,0.0005,2068,1,1.1553862418,118,1
path,source_normalized,2,0.0005,2069,1,1.1937491911,106,2
path,source_normalized,2,0.0005,2070,1,1.2177325668,118,1
path,source_normalized,2,0.0005,2071,1,1.2871375741,118,1
path,source_normalized,2,0.0005,2072,1,1.2156061859,116,2
path,source_normalized,2,0.0005,2073,1,1.0862813100,118,1
path,source_normalized,2,0.0005,2074,1,1.0893373448,118,1
path,source_normalized,2,0.0005,2075,1,1.0261648578,118,1
path,source_normalized,2,0.0005,2076,1,1.1037624206,118,1
path,source_normalized,2,0.0005,2077,1,1.2584475962,116,2
path,source_normalized,2,0.0005,2078,1,0.9884535022,118,1
path,source_normalized,2,0.0005,2079,1,1.2007613731,106,2
path,source_normalized,2,0.0005,2080,1,1.2238907264,116,2
path,source_normalized,2,0.0005,2081,1,1.1874507303,118,1
path,source_normalized,2,0.0005,2082,1,0.9885427052,116,2
path,source_normalized,2,0.0005,2083,1,1.1145819011,118,1
path,source_normalized,2,0.0005,2084,1,1.1564400044,118,1
path,source_normalized,2,0.0005,2085,1,1.3010591156,116,2
path,source_normalized,2,0.0005,2086,1,1.1429994414,116,2
path,source_normalized,2,0.0005,2087,1,1.1358253158,116,2
path,source_normalized,2,0.0005,2088,1,1.1742250981,116,2
path,source_normalized,2,0.0005,2089,1,1.0172667966,118,1
path,source_normalized,2,0.0005,2090,1,1.2377643597,118,1
path,source_normalized,2,0.0005,2091,1,1.0821284503,116,2
path,source_normalized,2,0.0005,2092,1,1.1394680654,118,1
path,source_normalized,2,0.0005,2093,1,1.1592632335,116,2
path,source_normalized,2,0.0005,2094,1,1.1254162044,118,1
path,source_normalized,2,0.0005,2095,1,1.1629139741,118,1
path,source_normalized,2,0.0005,2096,1,1.1647393100,118,1
path,source_normalized,2,0.0005,2097,1,1.2695815356,116,2
path,source_normalized,2,0.0005,2098,1,1.2565977488,116,2
path,source_normalized,2,0.0005,2099,1,1.1231774754,118,1
path,source_normalized,2,0.0005,2100,1,1.0882782759,116,2
path,source_normalized,2,0.0005,2101,1,1.1740087309,118,1
path,source_normalized,2,0.0005,2102,1,1.1647914299,116,2
path,source_normalized,2,0.0005,2103,1,1.0665344509,106,2
path,source_normalized,2,0.0005,2104,1,1.1386191807,116,2
path,source_normalized,2,0.0005,2105,1,1.2778175143,116,2
path,source_normalized,2,0.0005,2106,1,1.1955064481,116,2
path,source_normalized,2,0.0005,2107,1,1.1263561054,116,2
path,source_normalized,2,0.0005,2108,1,1.1491174776,118,1
path,source_normalized,2,0.0005,2109,1,1.1359731305,118,1
path,source_normalized,2,0.0005,2110,1,1.2362671886,116,2
path,source_normalized,2,0.0005,2111,1,1.1351720776,118,1
path,source_normalized,2,0.0005,2112,1,1.2243101007,116,2
path,source_normalized,2,0.0005,2113,1,1.1987513631,106,2
path,source_normalized,2,0.0005,2114,1,0.9791982139,106,2
path,source_normalized,2,0.0005,2115,1,1.1081961770,116,2
path,source_normalized,2,0.0005,2116,1,1.1565586226,116,2
path,source_normalized,2,0.0005,2117,1,1.2162728169,116,2
path,source_normalized,2,0.0005,2118,1,1.1918835854,118,1
path,source_normalized,2,0.0005,2119,1,1.1511768984,118,1
path,source_normalized,2,0.0005,2120,1,1.1367401053,116,2
path,source_normalized,2,0.0005,2121,1,0.9436077592,114,4
path,source_normalized,2,0.0005,2122,1,1.1881482357,118,1
path,source_normalized,2,0.0005,2123,1,1.1081944660,118,1
path,source_normalized,2,0.0005,2124,1,1.3006928937,118,1
path,source_normalized,2,0.0005,2125,1,1.2231673059,118,1
path,source_normalized,2,0.0005,2126,1,1.2689552846,110,2
path,source_normalized,2,0.0005,2127,1,1.1927828226,116,2
path,source_normalized,2,0.0005,2128,1,1.1644237231,106,2
path,source_normalized,2,0.0005,2129,1,1.1656283551,118,1
path,source_normalized,2,0.0005,2130,1,1.1293040599,118,1
path,source_normalized,2,0.0005,2131,1,1.1595515782,118,1
