topology,propagation_rule,evaluation_threshold,decision_block_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count
branched_path,symmetric_normalized,0.01,3,150,1.0000,0.42482984,89.140,7.300
branched_path,symmetric_normalized,0.01,4,150,1.0000,0.44799667,94.933,5.160
branched_path,symmetric_normalized,0.01,5,150,1.0000,0.43391515,89.633,4.287
branched_path,symmetric_normalized,0.01,7,150,1.0000,0.46826820,102.353,2.280
branched_path,symmetric_normalized,0.01,10,150,1.0000,0.47327274,101.333,1.507
branched_path,symmetric_normalized,0.01,15,150,1.0000,0.45084362,90.100,1.507
branched_path,symmetric_normalized,0.01,20,150,1.0000,0.41926193,80.000,1.507
branched_path,symmetric_normalized,0.01,30,150,1.0000,0.36443103,63.000,1.320
branched_path,symmetric_normalized,0.01,40,150,1.0000,0.31995360,49.600,1.253
branched_path,symmetric_normalized,0.01,60,150,0.7733,0.23318153,29.600,1.000
branched_path,symmetric_normalized,0.02,1,150,1.0000,0.37423298,75.653,32.847
branched_path,symmetric_normalized,0.02,2,150,1.0000,0.38711657,79.200,16.020
branched_path,symmetric_normalized,0.02,3,150,1.0000,0.39229164,80.420,10.527
branched_path,symmetric_normalized,0.02,4,150,1.0000,0.41580399,85.600,7.320
branched_path,symmetric_normalized,0.02,5,150,1.0000,0.43670747,90.467,5.620
branched_path,symmetric_normalized,0.02,7,150,1.0000,0.42710272,85.540,4.020
branched_path,symmetric_normalized,0.02,10,150,1.0000,0.47298703,102.333,1.720
branched_path,symmetric_normalized,0.02,15,150,1.0000,0.46448585,93.600,1.540
branched_path,symmetric_normalized,0.02,20,150,1.0000,0.43929981,82.400,1.540
branched_path,symmetric_normalized,0.02,30,150,1.0000,0.37610829,63.800,1.380
branched_path,symmetric_normalized,0.02,40,150,1.0000,0.33228745,50.133,1.333
branched_path,symmetric_normalized,0.02,60,150,0.7667,0.21563342,27.600,1.000
branched_path,symmetric_normalized,0.04,1,150,1.0000,0.34654953,68.360,48.300
branched_path,symmetric_normalized,0.04,2,150,1.0000,0.34852533,69.920,23.840
branched_path,symmetric_normalized,0.04,3,150,1.0000,0.36838212,73.700,15.280
branched_path,symmetric_normalized,0.04,4,150,1.0000,0.38295804,76.853,11.180
branched_path,symmetric_normalized,0.04,5,150,1.0000,0.38924015,77.667,8.600
branched_path,symmetric_normalized,0.04,7,150,1.0000,0.42623642,85.267,5.640
branched_path,symmetric_normalized,0.04,10,150,1.0000,0.40797413,79.467,3.913
branched_path,symmetric_normalized,0.04,15,150,1.0000,0.46960555,97.400,1.500
branched_path,symmetric_normalized,0.04,20,150,1.0000,0.45748970,89.467,1.460
branched_path,symmetric_normalized,0.04,30,150,1.0000,0.39894852,69.600,1.360
branched_path,symmetric_normalized,0.04,40,150,1.0000,0.36467721,56.800,1.340
branched_path,symmetric_normalized,0.04,60,150,0.7733,0.24048506,32.400,1.000
path,source_normalized,0.0005,1,150,1.0000,0.91702020,80.060,6.173
path,source_normalized,0.0005,2,150,1.0000,1.14620188,115.920,1.500
path,source_normalized,0.0005,3,150,1.0000,1.14160669,113.080,1.480
path,source_normalized,0.0005,4,150,1.0000,1.13676349,110.693,1.480
path,source_normalized,0.0005,5,150,1.0000,1.13108489,108.300,1.480
