condition,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,initial_dwell_steps,irrelevant_dwell_steps,switch_count,switch_times,segments
random_replay,30,1,33,1.0120414305,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
fixed_initial,31,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,31,1,8,1.1438214493,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,31,1,16,0.3522955588,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,31,1,19,0.4797456181,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,31,1,24,0.4730432259,6,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15]]"
adaptive_mismatch,31,1,19,1.1173921393,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,31,1,19,1.1173921393,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,32,0,,0.0016040464,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,32,1,8,1.1335398187,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,32,1,13,0.3880153138,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,32,1,17,0.4288831610,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,32,1,17,0.4095196587,7,15,60,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,32,1,17,0.9016046241,2,60,15,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""useful"",60]]"
random_replay,32,1,18,0.6575664022,8,45,15,60,2,"[15,60]","[[""initial"",15],[""useful"",45],[""irrelevant"",60]]"
fixed_initial,33,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,33,1,8,1.1767183676,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,33,1,13,0.3849172216,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,33,1,16,0.4575088388,5,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,33,1,16,0.5092125551,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,33,1,16,0.9147294825,2,45,15,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""useful"",45]]"
random_replay,33,1,19,0.8144839642,6,60,15,45,2,"[15,75]","[[""initial"",15],[""useful"",60],[""irrelevant"",45]]"
fixed_initial,34,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,34,1,8,1.1434867880,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,34,1,13,0.3874025915,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,34,1,18,0.6179562220,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,34,1,33,0.5388225828,8,15,60,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,34,1,18,1.1318595223,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,34,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,35,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,35,1,8,1.1720549889,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,35,1,11,0.4286738317,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,35,1,16,0.6540605846,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,35,1,31,0.6501121968,2,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,35,1,16,1.1612938924,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,35,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,36,0,,0.0005658881,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,36,1,7,1.2477053607,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,36,1,13,0.4032719971,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,36,1,18,0.5267052195,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,36,1,18,0.4951789191,7,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,36,1,18,1.2182319135,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,36,1,17,0.0418644832,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,37,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,37,1,8,1.0130117519,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,37,1,18,0.3197909878,9,0,0,0,0,[],"[[""mixed"",120]]"
periodic,37,1,18,0.4070561753,5,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,37,1,18,0.3951182559,7,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,37,1,18,0.9908526744,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,37,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,38,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,38,1,8,1.1351578153,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,38,1,11,0.4325973304,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,38,1,19,0.4618884562,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,38,1,19,0.5211458018,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,38,1,19,1.1068807108,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,38,1,16,0.0953155753,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,39,0,,0.0001807073,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,39,1,8,1.1617516541,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,39,1,11,0.4513364328,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,39,1,16,0.6942544767,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
