condition,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,initial_dwell_steps,irrelevant_dwell_steps,switch_count,switch_times,segments
periodic,74,1,19,0.5897261620,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,74,1,19,0.7060767822,3,60,30,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,74,1,19,1.0569958137,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,74,1,19,1.0569958137,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,75,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,75,1,8,1.1038433443,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,75,1,11,0.4594280609,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,75,1,16,0.5705029055,3,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,75,1,18,0.6760395571,3,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,75,1,16,0.6548274354,2,30,15,75,2,"[15,90]","[[""initial"",15],[""irrelevant"",75],[""useful"",30]]"
random_replay,75,1,18,0.9119957050,6,75,45,0,2,"[15,90]","[[""initial"",15],[""useful"",75],[""initial"",30]]"
fixed_initial,76,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,76,1,7,1.2418095426,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,76,1,10,0.5126004945,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,76,1,16,0.6523791930,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,76,1,16,0.6952768067,6,15,60,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,76,1,16,1.0832126406,2,30,15,75,2,"[15,90]","[[""initial"",15],[""irrelevant"",75],[""useful"",30]]"
random_replay,76,1,16,1.0832126406,2,30,15,75,2,"[15,90]","[[""initial"",15],[""irrelevant"",75],[""useful"",30]]"
fixed_initial,77,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,77,1,8,1.0341445440,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,77,1,12,0.4000361244,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,77,1,19,0.4441722813,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,77,1,19,0.4585666230,4,60,45,15,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,77,1,19,1.0084974676,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,77,1,19,1.0084974676,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,78,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,78,1,8,1.0176028350,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,78,1,14,0.3749091811,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,78,1,19,0.4318758671,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,78,1,26,0.3646002166,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,78,1,19,0.9991405762,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,78,1,19,0.9991405762,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,79,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,79,1,7,1.1729312484,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,79,1,13,0.3543767641,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,79,1,19,0.4558266162,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,79,1,19,0.3664757883,6,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,79,1,19,1.1465815102,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,79,1,25,0.0171968849,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,80,0,,0.0000090439,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,80,1,7,1.1770348358,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,80,1,10,0.4750772273,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,80,1,20,0.4342034958,5,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,80,1,20,0.7412404811,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,80,1,20,1.0055982663,2,75,15,30,2,"[15,45]","[[""initial"",15],[""irrelevant"",30],[""useful"",75]]"
random_replay,80,1,18,0.7084637922,5,30,15,75,2,"[15,45]","[[""initial"",15],[""useful"",30],[""irrelevant"",75]]"
fixed_initial,81,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,81,1,8,1.1359091105,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,81,1,13,0.3811917408,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,81,1,18,0.5543283674,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,81,1,46,0.6343669769,5,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,81,1,18,1.1124372432,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,81,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,82,0,,0.0019710442,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,82,1,7,1.1772908847,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,82,1,13,0.3992997679,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,82,1,18,0.5106541419,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,82,1,31,0.5835900563,4,15,45,60,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15]]"
adaptive_mismatch,82,1,18,1.1557331903,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,82,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,83,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,83,1,7,1.1987363735,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,83,1,13,0.3891043137,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,83,1,31,0.4144650864,8,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,83,1,19,0.5123211865,4,60,30,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,83,1,47,1.0401417727,2,75,15,30,2,"[15,45]","[[""initial"",15],[""irrelevant"",30],[""useful"",75]]"
random_replay,83,1,19,0.4382475647,6,30,90,0,2,"[15,45]","[[""initial"",15],[""useful"",30],[""initial"",75]]"
fixed_initial,84,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,84,1,8,1.1776434418,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,84,1,11,0.4589074847,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,84,1,16,0.7141407752,2,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,84,1,16,0.5977954746,2,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,84,1,16,0.8300181951,2,30,15,75,2,"[15,90]","[[""initial"",15],[""irrelevant"",75],[""useful"",30]]"
random_replay,84,1,18,0.9751763164,4,75,15,30,2,"[15,90]","[[""initial"",15],[""useful"",75],[""irrelevant"",30]]"
fixed_initial,85,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,85,1,7,1.1852472719,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,85,1,13,0.3873623359,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,85,1,19,0.5007651283,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,85,1,31,0.3460633466,8,15,45,60,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,85,1,19,1.1562736257,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,85,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,86,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,86,1,8,1.0253742975,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,86,1,11,0.4523434731,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,86,1,18,0.4953161606,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,86,1,18,0.6657857310,2,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,86,1,18,1.0010685676,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,86,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,87,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,87,1,8,1.1608478151,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,87,1,9,0.6014532564,3,0,0,0,0,[],"[[""mixed"",120]]"
periodic,87,1,16,0.8091340548,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,87,1,16,0.7118474461,2,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,87,1,16,1.1570297048,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,87,1,16,0.1559219188,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,88,0,,0.0000087052,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,88,1,8,1.1090994588,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,88,1,13,0.3952480571,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,88,1,18,0.4820364327,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,88,1,33,0.4638017690,4,30,30,60,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15]]"
adaptive_mismatch,88,1,18,1.0945649643,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,88,0,,0.0002597016,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,89,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,89,1,7,1.2785147298,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,89,1,12,0.4194465769,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,89,1,32,0.4547707206,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,89,1,31,0.3871543162,6,15,60,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,89,1,32,1.1943839756,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,89,1,17,0.2104756977,9,15,105,0,2,"[15,30]","[[""initial"",15],[""useful"",15],[""initial"",90]]"
fixed_initial,90,0,,0.0001477979,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,90,1,8,1.1138583677,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,90,1,11,0.4398596206,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,90,1,33,0.3866545947,8,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,90,1,18,0.5001445668,3,45,60,15,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,90,1,33,1.0312547800,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,90,1,31,0.1349308893,6,0,105,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""initial"",90]]"
fixed_initial,91,0,,0.0018156661,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,91,1,8,1.1770419823,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,91,1,10,0.5250306178,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,91,1,19,0.4792597535,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,91,1,19,0.6764850450,2,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,91,1,19,1.1475433455,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,91,1,19,1.1475433455,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,92,0,,0.0003495448,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,92,1,8,1.1609547489,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,92,1,10,0.4993306882,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,92,1,18,0.5537543133,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,92,1,18,0.7064827825,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15]]"
adaptive_mismatch,92,1,18,1.1374932962,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,92,1,16,0.1713586706,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,93,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,93,1,8,1.0847258047,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,93,1,11,0.4310893879,3,0,0,0,0,[],"[[""mixed"",120]]"
periodic,93,1,31,0.6542627072,5,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,93,1,16,0.7609821204,2,60,30,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,93,1,31,1.0639040827,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,93,1,31,1.0639040827,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
fixed_initial,94,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,94,1,8,1.0526941412,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,94,1,17,0.3376470926,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,94,1,18,0.4604686487,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,94,1,18,0.4163384900,4,45,30,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,94,1,18,1.0280492984,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,94,1,18,1.0280492984,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,95,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,95,1,8,1.1161123835,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,95,1,11,0.4254388583,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,95,1,16,0.6530708193,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,95,1,31,0.5051116173,6,30,30,60,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15]]"
adaptive_mismatch,95,1,16,1.1057838284,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,95,1,16,1.1057838284,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,96,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,96,1,7,1.2433465627,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,96,1,11,0.4479764075,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,96,1,19,0.4946461669,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,96,1,16,0.6048382006,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,96,1,19,1.2157035124,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,96,1,19,1.2157035124,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,97,0,,0.0003277112,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,97,1,7,1.2256101428,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,97,1,11,0.4211172679,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,97,1,19,0.4931601836,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,97,1,19,0.5531168290,5,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,97,1,19,1.2010442621,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,97,1,16,0.0667781469,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,98,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,98,1,7,1.2429910532,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,98,1,12,0.4220295783,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,98,1,19,0.5467726326,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,98,1,19,0.4629992971,7,30,30,60,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15]]"
adaptive_mismatch,98,1,19,1.2117022433,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,98,1,19,0.0256384294,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,99,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,99,1,8,1.0921261399,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,99,1,13,0.4034336310,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,99,1,31,0.4422330257,8,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,99,1,31,0.4719941441,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,99,1,61,0.9026643809,2,60,15,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""useful"",60]]"
random_replay,99,1,61,0.1852737748,8,0,75,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""initial"",60]]"
