decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
2,0.0005,1073,1,1.0797622835,118,1
2,0.0005,1074,1,1.0705176873,118,1
2,0.0005,1075,1,1.2176265120,116,2
2,0.0005,1076,1,1.0607528627,116,2
2,0.0005,1077,1,1.0329091193,116,2
2,0.0005,1078,1,1.2419975745,116,2
2,0.0005,1079,1,1.1635166753,116,2
2,0.0005,1080,1,1.1761015433,116,2
2,0.0005,1081,1,1.1296405808,116,2
2,0.0005,1082,1,1.2496549982,118,1
2,0.0005,1083,1,1.2199437966,118,1
2,0.0005,1084,1,1.1381453497,118,1
2,0.0005,1085,1,1.1424932373,118,1
2,0.0005,1086,1,1.1470304503,116,2
2,0.0005,1087,1,1.2821423670,118,1
2,0.0005,1088,1,1.1103992675,118,1
2,0.0005,1089,1,1.1493189303,118,1
2,0.0005,1090,1,1.1017230843,110,2
2,0.0005,1091,1,1.2147135620,116,2
2,0.0005,1092,1,1.1253452356,118,1
2,0.0005,1093,1,1.2061913112,118,1
2,0.0005,1094,1,1.1515112642,118,1
2,0.0005,1095,1,1.1114893541,118,1
2,0.0005,1096,1,1.1829789165,116,2
2,0.0005,1097,1,1.0494302120,118,1
2,0.0005,1098,1,1.1698616269,118,1
2,0.0005,1099,1,1.0915850736,106,2
2,0.0005,1100,1,1.0858279950,118,1
2,0.0005,1101,1,1.2588354971,116,2
2,0.0005,1102,1,1.0155403040,118,1
2,0.0005,1103,1,1.1287272868,116,2
2,0.0005,1104,1,1.2347432639,118,1
2,0.0005,1105,1,1.0344643854,118,1
2,0.0005,1106,1,1.1185563261,118,1
2,0.0005,1107,1,1.1490459989,118,1
2,0.0005,1108,1,1.1766177639,106,2
2,0.0005,1109,1,1.2364129086,118,1
2,0.0005,1110,1,1.1415063008,116,2
2,0.0005,1111,1,1.1799913613,118,1
2,0.0005,1112,1,1.1677179336,118,1
2,0.0005,1113,1,1.2146154794,116,2
2,0.0005,1114,1,1.1156394666,116,2
2,0.0005,1115,1,1.0605281035,116,2
2,0.0005,1116,1,1.1164258477,118,1
2,0.0005,1117,1,1.0391785393,118,1
2,0.0005,1118,1,1.2350594759,112,2
2,0.0005,1119,1,1.2486400578,118,1
2,0.0005,1120,1,1.0399640610,118,1
2,0.0005,1121,1,1.0957086704,116,2
2,0.0005,1122,1,1.1939004259,116,2
2,0.0005,1123,1,1.1986350050,116,2
2,0.0005,1124,1,1.0461148660,118,1
2,0.0005,1125,1,1.2189503770,116,2
2,0.0005,1126,1,1.1160561226,116,2
2,0.0005,1127,1,1.0766489021,118,1
2,0.0005,1128,1,1.1259743885,118,1
2,0.0005,1129,1,1.0794419003,116,2
2,0.0005,1130,1,1.1784616025,116,2
2,0.0005,1131,1,1.1233857471,116,2
2,0.0005,1132,1,1.2145499911,118,1
2,0.0005,1133,1,1.1468280708,116,2
2,0.0005,1134,1,1.0549209939,106,2
2,0.0005,1135,1,1.0805807729,118,1
2,0.0005,1136,1,1.2211600584,116,2
2,0.0005,1137,1,1.1214728128,118,1
2,0.0005,1138,1,1.1964569284,118,1
2,0.0005,1139,1,1.0451092287,118,1
2,0.0005,1140,1,1.1242277404,118,1
2,0.0005,1141,1,1.1041009043,118,1
2,0.0005,1142,1,1.1697702742,118,1
2,0.0005,1143,1,1.2128891808,118,1
2,0.0005,1144,1,1.1517263735,118,1
2,0.0005,1145,1,1.1292218695,118,1
