decision_block_steps,evaluation_threshold,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,switch_count,first_useful_entry_step
3,0.001,85,1,9,1.1823295191,2,114,2,6
3,0.001,86,1,9,1.0229602493,2,114,2,6
3,0.001,87,1,27,1.0954920874,2,96,2,24
3,0.001,88,1,8,1.1082764459,2,117,1,3
3,0.001,89,1,10,1.2726834434,2,114,2,6
3,0.001,90,1,11,1.1089086445,2,114,2,6
3,0.001,91,1,8,1.1758913295,2,117,1,3
3,0.001,92,1,26,1.1224459065,2,96,2,24
3,0.001,93,1,8,1.0841908676,2,117,1,3
3,0.001,94,1,9,1.0516246269,2,117,1,3
3,0.001,95,1,10,1.1128815877,2,114,2,6
3,0.001,96,1,8,1.2421317423,2,117,1,3
3,0.001,97,1,19,1.2191986619,2,102,2,18
3,0.001,98,1,8,1.2417542554,2,117,1,3
3,0.001,99,1,11,1.0873330864,2,114,2,6
5,0.001,0,1,14,1.1240825302,2,110,2,10
5,0.001,1,1,10,1.2893100378,2,115,1,5
5,0.001,2,1,8,1.1427938151,2,115,1,5
5,0.001,3,1,14,1.1713162210,2,110,2,10
5,0.001,4,1,12,1.1190527299,2,110,2,10
5,0.001,5,1,14,1.1380759113,2,110,2,10
5,0.001,6,1,10,1.1614673800,2,115,1,5
5,0.001,7,1,14,1.1195777887,2,110,2,10
5,0.001,8,1,10,1.2478957107,2,115,1,5
5,0.001,9,1,8,1.0937289218,2,115,1,5
5,0.001,10,1,7,1.0335270348,2,80,2,40
5,0.001,11,1,14,1.1653440391,2,110,2,10
5,0.001,12,1,14,1.1914728729,2,110,2,10
5,0.001,13,1,13,1.1985724849,2,110,2,10
5,0.001,14,1,10,1.2320333386,2,115,1,5
5,0.001,15,1,12,0.9869759650,2,110,2,10
5,0.001,16,1,10,1.1573057641,2,115,1,5
5,0.001,17,1,14,1.2073254919,2,110,2,10
5,0.001,18,1,7,1.1789381699,2,80,2,40
5,0.001,19,1,10,1.1589134430,2,115,1,5
5,0.001,20,1,8,1.1034464288,2,115,1,5
5,0.001,21,1,14,1.2313541460,2,110,2,10
5,0.001,22,1,8,0.9539498238,2,115,1,5
5,0.001,23,1,7,1.0818494929,2,80,2,40
5,0.001,24,1,10,1.1322419842,2,115,1,5
5,0.001,25,1,10,1.2593589858,2,115,1,5
5,0.001,26,1,10,1.0212382775,2,115,1,5
5,0.001,27,1,10,1.1896475556,2,115,1,5
5,0.001,28,1,14,1.1528448415,2,110,2,10
5,0.001,29,1,10,1.1265530264,2,115,1,5
5,0.001,30,1,14,1.0576581441,2,110,2,10
5,0.001,31,1,10,1.1403537037,2,115,1,5
5,0.001,32,1,14,1.1213415214,2,110,2,10
5,0.001,33,1,31,1.1231562360,2,90,2,30
5,0.001,34,1,12,1.1402155423,2,110,2,10
5,0.001,35,1,8,1.1706027826,2,115,1,5
5,0.001,36,1,12,1.2432810687,2,110,2,10
5,0.001,37,1,10,1.0098875245,2,115,1,5
5,0.001,38,1,31,1.0579933185,2,90,2,30
5,0.001,39,1,13,1.1487662624,2,110,2,10
5,0.001,40,1,8,1.2036477852,2,115,1,5
5,0.001,41,1,10,1.0702417752,2,115,1,5
5,0.001,42,1,12,1.0103664144,2,110,2,10
5,0.001,43,1,14,1.2329115700,2,110,2,10
5,0.001,44,1,12,1.1979962843,2,110,2,10
5,0.001,45,1,10,1.1700569135,2,115,1,5
5,0.001,46,1,10,1.0443105158,2,115,1,5
5,0.001,47,1,10,1.0679521485,2,85,2,35
5,0.001,48,1,8,1.0742269167,2,115,1,5
5,0.001,49,1,10,1.1734137256,2,115,1,5
5,0.001,50,1,14,1.1028486057,2,110,2,10
5,0.001,51,1,10,1.1570990032,2,115,1,5
5,0.001,52,1,10,0.9749892905,2,115,1,5
5,0.001,53,1,13,1.1623390104,2,110,2,10
5,0.001,54,1,12,0.9910843225,2,110,2,10
5,0.001,55,1,9,1.2629342368,2,115,1,5
5,0.001,56,1,10,1.0673853136,2,115,1,5
5,0.001,57,1,8,1.2164944181,2,115,1,5
5,0.001,58,1,12,1.0553249387,2,110,2,10
5,0.001,59,1,10,1.3054527416,2,115,1,5
5,0.001,60,1,10,1.1618514096,2,115,1,5
5,0.001,61,1,13,1.1646402160,2,110,2,10
5,0.001,62,1,13,1.0330079328,2,110,2,10
5,0.001,63,1,14,1.1225058425,2,110,2,10
5,0.001,64,1,11,1.0366191515,2,85,2,35
5,0.001,65,1,14,1.1198104053,2,110,2,10
5,0.001,66,1,10,1.1978038726,2,115,1,5
5,0.001,67,1,13,1.2778189911,2,110,2,10
5,0.001,68,1,8,1.1713222254,2,115,1,5
5,0.001,69,1,12,1.0030182982,2,110,2,10
5,0.001,70,1,14,1.0338717824,2,110,2,10
5,0.001,71,1,10,1.1479411399,2,115,1,5
5,0.001,72,1,8,1.2655828087,2,115,1,5
5,0.001,73,1,8,1.1825790816,2,115,1,5
5,0.001,74,1,14,1.0715006374,2,110,2,10
5,0.001,75,1,11,1.0332893027,2,85,2,35
5,0.001,76,1,10,1.2129343208,2,85,2,35
5,0.001,77,1,10,1.0308987223,2,115,1,5
5,0.001,78,1,14,1.0048480681,2,110,2,10
5,0.001,79,1,10,1.1693887153,2,115,1,5
5,0.001,80,1,14,1.1633532793,2,110,2,10
5,0.001,81,1,10,1.1325188098,2,115,1,5
5,0.001,82,1,10,1.1739311976,2,115,1,5
5,0.001,83,1,14,1.1852118770,2,110,2,10
5,0.001,84,1,7,1.1014072807,2,80,2,40
5,0.001,85,1,12,1.1773038129,2,110,2,10
5,0.001,86,1,12,1.0193395392,2,110,2,10
5,0.001,87,1,7,1.0097516805,2,80,2,40
5,0.001,88,1,10,1.1068524754,2,115,1,5
5,0.001,89,1,14,1.2635668494,2,110,2,10
5,0.001,90,1,14,1.1006286631,2,110,2,10
5,0.001,91,1,10,1.1734279998,2,115,1,5
5,0.001,92,1,7,1.0763595742,2,80,2,40
5,0.001,93,1,8,1.0833191538,2,115,1,5
5,0.001,94,1,10,1.0493816453,2,115,1,5
5,0.001,95,1,13,1.1083452045,2,110,2,10
5,0.001,96,1,10,1.2395550520,2,115,1,5
5,0.001,97,1,31,1.2054486303,2,90,2,30
5,0.001,98,1,10,1.2391019938,2,115,1,5
5,0.001,99,1,14,1.0796588504,2,110,2,10
10,0.001,0,1,24,1.0937641645,2,100,2,20
10,0.001,1,1,14,1.2775102797,2,110,1,10
10,0.001,2,1,11,1.1383909627,2,110,1,10
10,0.001,3,1,22,1.1439864571,2,100,2,20
10,0.001,4,1,21,1.1026200754,2,100,2,20
10,0.001,5,1,33,1.0647872431,2,90,2,30
